id,trigger,conditions,script,text,options,notes
aotd_proceed_with_asking,DialogOptionSelected,"$option == aotd_ask_for_supply
!AoTDCommision isStillWaiting",AoTDCommision printResponse,,"5:aotd_give_supplies:""Please deliver them to our ships""
10:aotd_give_supplies_storage:""Please deliver them to local storage""
20:aotd_end_conversation:""On second thought, I don't need those supplies""
",
aotd_deny_free_supply,DialogOptionSelected,$option == aotd_end_conversation,FireAll PopulateOptions,,,
aotd_grant_supplies_storage,DialogOptionSelected,$option == aotd_give_supplies,"AoTDHandleSupplyGiving toStorage
FireAll PopulateOptions",,,
aotd_grant_supplies_ship,DialogOptionSelected,$option == aotd_give_supplies_storage,"AoTDHandleSupplyGiving toShip
FireAll PopulateOptions",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
