id,type,text1,text2,text3,notes
drone_feeder,SHIP,"Small, weaponised Mess colonies, these drones are individually very weak. However, they often appear en mass, overwhelming point defense systems. On contact with targets,  they will acquire new material from ships, essentially stripping armour from any target they come into contact with and increasing the risk of Mess Infection. Often the only solution to these swarms is strong point defense, and quick elimination of the swarm's source.",,,
drone_feeder_heavy,SHIP,"Something of a refined Mess mini-colony, this amalgamation of nanites and weapons services as a heavy fighter with fairly strong weaponry. When massed these can overwhelm fighter screens and point defense systems, clearing the way for their smaller brethren.",,,
drone_remora_scan,SHIP,"Small repair drones, these small drone craft are armed with high intensity scanners which are normally used to detect high value ship parts amongst the wreckage. However, with some modification, they are capable or delivering a sharp EMP burst to enemy ships, acting as a somewhat effective suppression tool in fleet engagements.",,,
hmi_trapdoor,SHIP,"Lacking a cheap bomber option, some enterprising junkers took a Talon, stripped out the weapons and flare system, and applied a simple bomb bay design to the chasis. The resulting crude craft can drop a single, momentum based explosive at high speed from outside point defense range. While individual wings of the Trapdoor are weak, they are cheap in oridnance and cost, and can become dangerous when used in large numbers against stricken targets.",,,
,,,,,
# FRIGATES FRIGATES FRIGATES,,,,,
,,,,,
remora,SHIP,"Originally a high-tech, nimble shuttle focused on after-battle ship repair, the Remora has been converted into a combination salvage and survey ship to rival the Shepherd. The repair drones have been altered to not only acquire space-borne scrap, but also deliver a steady EMP disruption to targets. These drones are incredibly effective at disabling smaller targets, and harassing larger ships, however their weapons lack the missile targetting algorithms, making them pointless point defense escorts.",,,
shepherd_heavy,SHIP,"With additional weapon mounts, more armour plating, and a new hacked drone manufactory, this Shepherd modification is a hard nut for isolated pirate patrols to crack. Unfortunately the resultant increase to mass has inhibited ship maneuverability, the size of the new hacked drone bay required the removal of the shield generator to fit, and the ship lacks just about any sort of mining functionality. Nevertheless, the Crook is considered to be an effective convoy escort and frigate hunter-killer.",,,
shepherd_light,SHIP,"A Shepherd that has been completely stripped out, the Whiskey Priest focuses the entire function of the vessel on mining. Cargo space, fuel tanks, weapon systems and the shield generator have all been chucked, replaced with an extra drone bay. The drone bays have also been hacked to produce Blitz Drones, a derivative of borer drone with drastically improved engine efficency. All of these changes not only makes the ship shocking fragile, but the vessel also lacks the ability to contain mined material, instead relying on additional ships for cargo space. If some madman wanted to, the ship can work as a moderately effective support carrier for small-scale combat.",,,
tempest_7,SHIP,"A rare experimental version of the Tempest, this ship lacks a missile hardpoint and a supplementary ship system to make room for a complex drone bay. The resulting Tempest Drone is equipped with a phase drive, enabling it to nimbly dance around the battlefield, quickly striking at enemies before dancing away, while also providing limited point defence for the Tempest. Often highly sought after by both avid collectors and experienced Tri-Tachyon executives.",,,
tempest_8,SHIP,"A prototype of the Tempest with a truly mythical reputation, this vessel was constructed with the idea of mass production without using complicated drone assemblies. The new drone system allowed for the inclusion of an active flare launcher and a small missile mounting, improving the combat ability of the base Tempest. Further, the ion pulser armed drone proves to be incredibly effective at disabling and damaging targets. These systems combined, however, caused considerable strain the the existing ship systems, which made it very difficult to run for exteded periods, as well as causing continual problems off the battlefield. While this model never made it into mass production, several prototype models were produced, and are hungrily sought after by not only Tri-Tachyon executives and collectors, but also just about every single skilled pilot in the sector.",,,
scarab_prototype,SHIP,"An incredibly rare modification of the Scarab bourne from the engineering standpoint that the Temporal Shell system was unfeasible and constructed from a beaurocratic mix-up, this vessel bears heavier ordinance and a phase skimmer.

During the development of the Scarab, there was a period of time where the feasibility of using the temporal device came into question. The problem lay less in the functionality of the device, and more in the manufacture of key components of the engine, meaning that even limited runs of the vessel would number in the single digits. During this particularly troublesome time, several designers and engineers attached to the project created an alternative Scarab hull comprised of fair more common components, just in case the project fell through. Luckily the production issues of the Temporal Shell technology were ironed out and the sketched design was consigned to the archives. However, during a later production run of the Scarab, the constructor file associated with this theoretical prorotype was accidentally used instead of the pre-existing Scarab. Tritachyon contractors on-site, realising they had half-completed hulls of an unfinished design when they should be producing a highly refined and expensive hull, quickly remade the hull on the fly to create this version of the Scarab. In a moment of sheer innovation and gut-wrenching anxiety, the contractors produced a surprisingly robust hull that replaced the temporal device with a phase skimmer, and six of the front mounts with two medium-sized mounts. The contractors were still charged with stealing the existing temporal engine technology and liquidated accordingly, with all the hulls produced seized for refitting with the appropriate ship system. Rather curiously, this hull very rarely appears from time to time in Tritachyon fleets, whether as one of the assets taken from the original project, or completely new hulls based on the existing slapdash design.",,,
hmi_appeasement,SHIP,"An incredibly rare prototype of the Afflictor bourne from the engineering standpoint that the Phase Cloak was unfeasible, this vessel mounts a degraded version of the Entropy Amplifier.

Phase Cloaking is an advanced piece of technology, and some individuals within Tri-Tachyon percieved that its widespread implementation would be impossible. This was due to the expense of the drive, the long-term effects of sustained p-space exposure on crew and officers, and the reliability of the cloak itself. Consequently a limited run of 'phaseless' prototypes were produced, however these ships repeatedly ran into problems with their extraneous systems. In the case of the Forgiveness, the Entropy Amplifier was difficult to charge up, as a large part of the system required the time dilation effect provided by the phase cloak. The Entropy Accelerator system was the compromise, which provided similar effects to the Accelerator while not requiring the phase cloak system.  After review, it was determined that the ship itself lacked the punch of the normal Afflictor for rather nebulous benefits. The Forgiveness-class was officially decomissioned and converted into Afflictors, however several hulls were taken by paranoid Tri-Tachyon Executives who were still skeptical of the long-term effects of spending time outside of normal space, and they are very occassionally spotted in Tri-Tachyon fleets.",,,
lasher_hmi,SHIP,"A retrofit of the Lasher hull, the Barber is an efficient mining vessel, and a somewhat effective ship-mining instrument.

The Barber-class mining frigate is a retrofitted Lasher hull modified to hold a Marx Machine Drill. Combined with improved armour for protection from asteroid debris, and expanded cargo holds to hold ores, the Barber modification is widely praised for it's mining ability. The modifications have compromised several systems, including the removal of the forward ballistic mounts and shield generator to make room for the Marx Drill, heavier armour and additional cargo holds, but considering the huge possible economic advantages of such a ship these niggling little foibles are often ignored. In combat, the Barber is oft reknowned for catching unwary pirates off guard, as with minimal modification the ship's engines can be thrown into overdrive to send the ship into enemy formations - with the drill at the front able to efficiently tear through ship armour. Such a maneuver is incredibly risky however, as the total lack of shield and somewhat small frame means that surviving the make contact with the enemy can prove difficult.",,,
cerberus_miner,SHIP,"Space Miners, seeing the advantages of the Cerberus blueprint, have tweaked and tinkered with the design for ages. A somewhat well-known design, the Khorkhoi replaces the forward medium ballistic mount with a built in mining blaster. Considered to be a fierce competitor to the Shepherd, this ship boasts decent cargo, armour and armament - even if said armament immediately maxes out the flux capacitors on firing.",,,
