eventId,name,options,isOneTime,isPermament,plugin,cooldown,modId,imageId,weight,,,,,
hivemind_discovery,Underground Hivemind,"hive_op1:Try to find a way to use them as defences.
hive_op2:Start a breeding program to export the eggs.
hive_op3:I will not let those things infest our planet, destroy them.",true,true,data.colonyevents.events.UndergroundHiveEvent,10000,aod_vos,hivemind_whoopsie,7000	,,,,,
tectonic_disaster,Tectonic Catastrophy,tec_op1:Fuck....,false,true,data.colonyevents.events.TectonicDisasterEvent,10000,aod_vos,tectonic_disaster,7000	,,,,,
acot_encounter_encounter,Unexpected Encounter,"acot_op1:Yes, we will help you with returning to your home SOPHIA.
acot_op2:No, actually you will be better as our test subjest in laboratory. APPREHEND HER.",true,true,data.colonyevents.events.UnexpectedOutsiderEvent,10000,aod_vos,tectonic_disaster,7000	,,,,,
crime_syndicate_beginning,Rampant Crime,crime_beginning: WE MUST DO SOMETHING!,false,true,data.colonyevents.events.CrimeSyndicateEvent,10000,aod_vos,crime_rampant,7000,,,,,
crime_syndicate_resolve,Question of Internal Stability,"crime_syndicate_deal:We need to strike deal with crime lord for stability.
crime_syndicate_rampage:Order marines full purge.",false,true,data.colonyevents.events.CrimeSyndicateEvent,10000,aod_vos,crime_resolve,7000,,,,,
ancient_factory,Ancient Factory,"ancient_factory1:Analyze factory systems
ancient_factory2:Activate old defense systems
ancient_factory3:Excavate all valuable items",true,true,data.colonyevents.events.AncientFactoryEvent,10000,aotd_vok,ancient_factory,8000,,,,,
miracle_seed_start,Miracle Seed - Discovery,"miracle_seed_start1:Order the plant used as a food crop.
miracle_seed_start2:Order a sample of seeds to be sent to the labs for testing.
miracle_seed_start3:The seeds were sealed for a reason. Order them destroyed.",true,true,data.colonyevents.events.MiracleSeedEvent,10000,aod_vos,miracle_seed_beginning,8000,,,,,
miracle_seed_2a,Miracle Seed - Trouble?,"miracle_seed_2a1:Continue.
miracle_seed_2a2:Order a sample of seeds to be sent to the labs for testing.",true,true,data.colonyevents.events.MiracleSeedEvent,10000,aod_vos,miracle_seed_quarantee,8000,,,,,
miracle_seed_3aa,Miracle Seed - Price of Greed,miracle_seed_3aa1:Oh god...,true,true,data.colonyevents.events.MiracleSeedEvent,10000,aod_vos,miracle_seed_spores,8000,,,,,
miracle_seed_3ab,Miracle Seed - Disaster Averted,miracle_seed_3ab1:It's finally over,true,true,data.colonyevents.events.MiracleSeedEvent,10000,aod_vos,miracle_seed_spores,8000,,,,,
miracle_seed_2b,Miracle Seed - Informed Choice,"miracle_seed_2b1:Use the seeds anyway, but with necessary precautions needed to protect the colonist.
miracle_seed_2b2:Provide additional research funding to alter the seeds
miracle_seed_2b3:Order the seeds to be destroyed",true,true,data.colonyevents.events.MiracleSeedEvent,10000,aod_vos,miracle_seed_research,8000,,,,,
miracle_seed_3b,Miracle Seed - Delayed Gratification,"miracle_seed_3b1:Use altered seeds
miracle_seed_3b2:Change your mind, order the seeds to be destroyed.",true,true,data.colonyevents.events.MiracleSeedEvent,10000,aod_vos,miracle_seed_fixed,8000,,,,,
,,,,,,,,,,,,,,
