id,type,text1,text2,text3,notes
mm_autoflakpd,WEAPON,Twin barrel anto-flak turret.  Special autoloaders promise a high rate of fire to dish out as many shrapnel slugs into the space as possible.  It also has improved range over flak thanks to a special auto-rangefinder.,,,
mm_miniflakpd,WEAPON,Twin barrel anto-flak turret.  Special autoloaders promise a high rate of fire to dish out as many shrapnel slugs into the space as possible.  It also has improved range over flak thanks to a special auto-rangefinder.,,,
mm_cryospoolpd,WEAPON,"Highly advanced Rubionflame point defense. Twin injector on each side injects flame into a sphere shape storage in the middle of the turret, AKA ""Orb"". This ""Orb"" allows the flame to be spume out with minimal preparation. The capacity of the turret is limited due to the maximum orb size. The flame itself is Rubion in plasma state which is highly volatile and can burn any missile or fighter with ease.",,,
,,,,,
musashi_bp,CUSTOM,Ships from Musashi Manufactorum.,,,
,,,,,
mm_superfeed,SHIP_SYSTEM,"Musashi Super Feeder features ruduction to flux cost and increase ballisic rate of fire. Is has smaller duration and longer cooldown than regular ammofeeder.

Provides 75% flux cost reduction and a 3x to the rate of fire of all ballistic weapons for 2.5 secs. 11.5secs cooldown.",Offensive,Provides 60% flux cost reduction and 3x to rate of fire of all ballistic weapons for 2 secs. 11 secs cooldown.,
mm_relicfeed,SHIP_SYSTEM,"Musashi Super Feeder features ruduction to flux cost and increase ballisic rate of fire. Is has smaller duration and longer cooldown than regular ammofeeder.

Provides 75% flux cost reduction and a 3x to the rate of fire of all ballistic weapons for 2.5 secs. 11.5secs cooldown.",Offensive,Provides 70% flux cost reduction and a 3x to the rate of fire of all ballistic weapons for 2 secs. 11 secs cooldown. Also increase ballistic damage by 25%.,
,,,,,
mmadvancetargetingcore,,,,,
mmmilitarytargetingcore,,,,,
mmstandardtargetingcore,,,,,
