name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Predator-X,uw_predator_x,Frigate,Pirate,uw_inferniumdrive,6,2000,200,2200,2250,180,55,,150,150,90,70,120,240,FRONT,,150,0.4,1,,,15,30,30,20,1,20,10,24000,8,12,120,0.25,6,6,,,,,,,,"rare_bp, hist1t, merc",,0.7,2,2,,232
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shark,uw_shark,Battle Barge,Post-Collapse,uw_inferniumdrive,10,5500,500,3800,4500,270,105,,90,40,30,14,25,450,OMNI,,100,0.4,1,,,55,120,100,100,2,50,9,38000,5,12,420,0.25,8,8,,,,,,,,"uw_post_collapse_bp, merc",,0.5,2,3,,233
Boar,uw_boar,Destroyer,Hack-Job,uw_inferniumdrive,9,5000,650,4000,5000,300,95,,50,50,50,30,60,500,OMNI,,180,0.5,1,,,60,100,80,80,3,27,9,34000,5,12,420,0.25,8,8,,,,,,,WEAPONS_FRONT_TO_BACK,"uw_hack_job_bp, merc",,0.4,2,3,,326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbarian,uw_barbarian,Cruiser,Hack-Job,uw_inferniumdrive,13,11000,1200,9500,9000,450,145,,35,30,15,12,20,2000,OMNI,,120,0.5,1,,,180,280,125,120,5,24,8,100000,4,12,540,0.25,18,18,,,,,,,,"uw_hack_job_bp, merc",,0.5,2,3,,413
Stalker,uw_stalker,Cruiser,Hack-Job,ammofeed,14,8000,1000,9000,10000,450,130,1,45,30,20,20,20,1750,FRONT,,300,0.4,1,,,200,350,225,120,3,40,8,135000,4,12,540,0.25,20,20,,,,,,,,"rare_bp, merc",,0.6,2,3,,419
Mongrel,uw_mongrel,Gunboat,Junker,fastmissileracks,12,10000,400,10000,7000,350,145,,40,30,20,15,15,1000,NONE,,,,,,,120,120,100,60,3,20,8,75000,4,20,240,0.25,15,15,,,,,,,ALWAYS_PANIC,uw_junker_bp,,0.6,2,3,,420
Shadowclaw,uw_shadowclaw,Cruiser,Midline,uw_shadowskim,16,7500,1000,12000,12000,600,130,,50,30,20,20,25,1100,FRONT,,270,0.4,0.8,,,75,200,100,100,3,33,8,230000,3,15,480,0.25,28,28,,,,,,,HIDE_IN_CODEX,restricted,,0.5,2,3,,421
Starlight Eos,uw_eos_cabal,Carrier,Starlight Cabal,flarelauncher_active,16,8000,700,6000,6000,300,115,4,60,30,30,10,10,2000,FRONT,,360,0.6,0.6,,,150,300,75,80,4,20,8,225000,3,15,420,0.25,25,25,,,,,,,"CARRIER, COMBAT",uw_cabal_bp,,0.4,2,3,,407
Starscream,uw_starscream,Combat Transport,Starlight Cabal,plasmajets,13,6000,350,8000,6000,300,105,1,45,25,15,15,15,1200,OMNI,,120,0.5,0.8,,,75,900,250,120,4,30,8,170000,3,15,480,0.25,18,18,,,,,50,225,,"uw_cabal_bp, uw_cabal_minibp",,0.6,2,3,,409
Climax,uw_climax,Cruiser,Starlight Cabal,highenergyfocus,15,9000,750,12000,14000,700,150,,60,40,30,20,25,2000,FRONT,,360,0.6,0.7,,,150,450,400,200,2,100,8,140000,3,15,420,0.25,18,18,,,,,,,,uw_cabal_bp,,0.6,2,3,,403
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infernus,uw_infernus,Battlewagon,Post-Collapse,burndrive,28,25000,1600,22000,30000,1200,265,2,20,6,6,3,2,5500,FRONT,,90,0.25,1,,,1000,2500,500,4000,20,200,6,420000,2,12,660,0.15,50,50,,,80,200,50,125,,"rare_bp, hist3t, req_military",0.5,0.75,3,6,,508
Renegade,uw_renegade,Battlecruiser,Post-Collapse,uw_inferniumdrive,20,18000,1500,20000,17500,700,260,1,40,20,12,5,5,3500,OMNI,,180,0.5,1.4,,,500,1250,250,250,10,25,7,260000,3,18,600,0.25,35,35,,,,,,,,"rare_bp, merc",,0.5,2,4,,509
Dragon,uw_dragon,Battlecruiser,Hack-Job,fastmissileracks,24,10000,1200,14000,16250,650,250,2,60,40,30,6,9,2500,OMNI,,120,0.4,1.2,,,450,700,300,400,10,40,8,300000,3,15,660,0.25,40,40,,,,,,,,"rare_bp, hist3t, merc",,0.6,2,4,,510
Amalgam,uw_amalgam,Death Barge,Junker,maneuveringjets,18,16000,800,17000,12500,500,270,,30,20,15,4,3,3000,NONE,,,,,,,250,250,200,450,15,30,7,180000,3,20,360,0.25,30,30,,,,,,,ALWAYS_PANIC,uw_junker_bp,,0.6,2,4,,420
Succubus,uw_succubus,Pocket Battleship,Starlight Cabal,uw_incubusdrive,26,11000,900,22000,20000,750,290,,45,20,15,5,8,3000,OMNI,,150,0.4,0.8,,,600,1200,400,400,10,40,7,540000,3,15,660,0.25,45,45,,,,,,,,uw_cabal_bp,,0.5,2,4,,500
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palace,uw_palace,Enlightenment Center,Starlight Cabal,entropyamplifier,250,10000,1000,28000,35000,1400,220,2,30,6,5,5,5,1500,OMNI,,360,0.5,0.6,,,1000,3000,2000,2000,20,100,6,500000,10,10,,,125,125,,,,,,,"HIDE_IN_CODEX, SHIP_WITH_MODULES, UNBOARDABLE",no_dealer,,0.5,2,3,,507
,uw_palace_rear,Rear Section,,,1,8000,1200,12500,6250,500,70,,0,0,0,10,10,1000,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,3,,2100
,uw_palace_left,Left Section,,mine_strike,1,5000,1100,5000,2500,200,40,,0,0,0,10,10,400,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,,,0,0,,,,,,,"UNDER_PARENT, UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,,2100
,uw_palace_right,Right Section,,mine_strike,1,5000,1100,5000,2500,200,40,,0,0,0,10,10,400,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,,,0,0,,,,,,,"UNDER_PARENT, UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,,2100
,uw_palace_front,Front Section,,highenergyfocus,1,20000,1300,17500,8750,700,120,2,0,0,0,10,10,1500,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,,,0,0,,,,,,,"UNDER_PARENT, UNBOARDABLE, HIDE_IN_CODEX",,,1,2,4,,2100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disco Ball,uw_boss_disco_ball,,,,,5000,300,36000,,4000,,,200,500,500,100,10,500,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,,,1,2,4,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killer Bee,uw_boss_wasp,,Unique Starlight Cabal,,,200,20,3000,,300,0,,300,500,500,180,360,20,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,,,0,,,,102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphoria,uw_boss_astral,Mod-Carrier,Unique Starlight Cabal,uw_boss_drone_disco_ball,35,12000,750,16500,18750,750,270,6,40,20,15,8,5,3250,OMNI,,360,0.5,0.6,,,350,1000,200,500,10,50,7,945000,3,15,720,0.25,60,90,,,,,,,HIDE_IN_CODEX,"no_autofit, no_dealer",,0.6,2,4,,501
Cancer,uw_boss_cancer,Dreadnought,Cursed,recalldevice,40,30000,2000,60000,50000,2000,410,7,30,10,10,3,4,7000,OMNI,,180,0.4,1,,,1200,2000,1000,400,20,20,6,1300000,2,10,840,0.03,80,120,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit, restricted, no_dealer",,1,5,5,,666
Corruption,uw_boss_corruption,Phase Battlecruiser,Cursed,mine_strike,32,15000,1400,20000,31250,1250,290,2,40,15,15,6,10,4000,PHASE,phasecloak,,,,0.05,0.05,300,500,200,200,10,20,7,945000,3,12,720,0.03,60,90,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit, restricted, no_dealer",,1,4,4,,666
Cyst,uw_boss_cyst,Cruiser,Cursed,ammofeed,20,12000,1500,18000,16000,800,170,1,45,25,20,15,20,2750,OMNI,,150,0.4,1,,,250,400,200,100,5,20,7,435000,4,12,540,0.03,35,52,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit, restricted, no_dealer",,1,3,3,,666
Disease,uw_boss_disease,Light Cruiser,Cursed,maneuveringjets,15,8000,900,14000,11000,550,140,,80,60,30,20,30,800,FRONT,,270,0.3,1,,,125,200,150,60,3,20,9,245000,4,12,480,0.03,20,30,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit, restricted, no_dealer",,1,3,3,,666
Malignancy,uw_boss_malignancy,Battleship,Cursed,entropyamplifier,35,22000,1600,40000,40000,1600,340,3,35,15,10,5,6,5500,OMNI,,270,0.4,1,,,750,1000,400,300,15,20,7,1100000,4,10,720,0.03,70,105,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit, restricted, no_dealer",,1,4,4,,666
Metastasis,uw_boss_metastasis,Heavy Cruiser,Cursed,temporalshell,22,11000,1250,30000,24000,1200,230,1,60,40,30,30,40,3000,OMNI,,180,0.4,1,,,175,250,200,80,4,20,8,490000,3,10,540,0.03,40,60,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit, restricted, no_dealer",,1,3,3,,666
Pustule,uw_boss_pustule,Destroyer,Cursed,emp,12,6500,1000,8000,6666,400,110,,70,40,40,30,45,600,OMNI,,150,0.4,1,,,80,120,120,60,3,20,9,110000,5,12,420,0.03,12,18,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit, restricted, no_dealer",,1,2,2,,666
Tumor,uw_boss_tumor,Heavy Destroyer,Cursed,displacer,13,7000,800,11000,10000,600,110,,90,60,40,35,50,400,FRONT,,270,0.3,1,,,70,100,100,60,3,20,9,120000,5,12,420,0.03,14,21,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit, restricted, no_dealer",,1,2,2,,666
Ulcer,uw_boss_ulcer,Combat Carrier,Cursed,targetingfeed,17,10000,1100,20000,15000,750,160,2,50,20,15,15,25,2000,FRONT,,210,0.3,1,,,150,200,200,80,4,20,8,365000,4,10,540,0.03,30,45,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, CARRIER, COMBAT","no_autofit, restricted, no_dealer",,1,3,3,,666
