id,trigger,conditions,script,text,options,notes,,
flavorTextMarketHMITimms,TradePanelFlavorText,"$market.id == timms score:1001
$id == timms","AddText ""After landing in the docking bay, you pass through at least four security stations, all manned by weary and worn out guards. Passing the last station, you enter into a wide hall amnned by security and some rather dirty runners and merchants. Outside the barred and scratched plasteel windows is a sprawling mass of shanty town, full of the desperate and the hungry. You see many empty eyed scum look at you desperately through the window, holding up hand-written signs in every language known to man, offering up everything and anything to escape. They duck away when one of the security officers moves towards the window, but pop right back as they pass.""",,,,,
mess_stationOpenDialog,OpenInteractionDialog,$tag:hmi_messstationtag,"AddText ""On approach, you begin to hear the sound of alarms and alert klaxons indicating hazardous space ahead. The empty void seems to swirl like a heat haze around the orbital station, smothered in the grey bulbs of the rampant Mess nanite colony, as scrap is ejected and swarms of nanite ships toil away at their pointless work. To approach any nearer would be suicide. You stay a moment, watching in wonder at the aimless machine, and try not to think if there were any people aboard before it was overrun by the grey goo, before departing hastily - lingering too long here could attract the attention of one of the larger swarms.""",,,,,
flavorTextMarketHMIGalena,TradePanelFlavorText,$id == galena score:1000,"AddText ""The distant ground below glows and sparkles in neon, as dazzling blue, magical purple, evervescent green and sickly yellow paint the otherwise rugged mountains. Rivers of oily hydrocarbons rumbles across the landscape between towering spires of throbbing, bleeding crystal. As you near the spaceport the landscape gradually gives way to dead, harvested land, the ground black and scarred with strip mining. Here and there stubborn crystal outgrowths attempt to reclaim the land between resident habs and warehouses. At the centre lies a large collection of concrete and metal, one of which your ship enters. During the lengthy decontamination sequence, you regard the ad holos and contacts rapidly uploaded from the local network, before you enter the spaceport proper.""",,,,,
flavorTextMarketHMIFolly,TradePanelFlavorText,$id == hurricane_station score:1000,"AddText ""Even despite the fact that Fuyutsuki's Folly is firmly in the shadow of Hurricane, the residual radiation and magentic fields makes entering the station incredibly bumpy, jarring, and otherwise a pain in the neck. Luckily, once your ship enters the dock, the ship rapidly settles. As you enter the largely deserted main hub of the barebones station, feeling the firm and stable footing beneath your feet, you spare a thought for the poor bastards still in orbit, withstanding the janky turbulence. Quickly however you encounter representatives from the seperate distribution divisions of Fuyutsuki's Folly, and turn your mind to business.""",,,,,
flavorTextMarketHMIShadedCove,TradePanelFlavorText,$id == typhoon_station score:1000,"AddText ""After a rather grueling trip, you quickly discover that Shaded Cove is just as inhospitable as the local environment. It takes an inordinate amount of time to contact the space port officials, it takes an eternity to land at the designated place, and then you have to quickly move as apparently you've been sent to the wrong landing pad. With increasing frustration you eventually disembark on a random pad with several armed members of your crew. Ignoring repeated whining from port officials you enter into the main hab area. Despite the glares from passerbys and how everyone appears to be on edge, you eventually manner to corner a merchant and gain access to the local market net, your crew looking on in displeasure.""",,,,,
flavorTextMarketHMIRascal,TradePanelFlavorText,$id == tornado_station score:1000,"AddText ""The station is surprisingly upbeat as pirate crews and locals brawl openly in the streets. Here and there is the crack of a lasgun or primitive pistol that still uses ancient accelerants. Ladies and lads of the night sensuously dance amongst the rowdy crowd, teasing and offering, while captains and merchants watch from less bawdy restaraunts, laughing at the rucus as they shadily plot. Forging your way through, you escape from the current riot and enter the slightly less intense Merchant's Quarter, filled with yelling voices so loud they deafen, signs so garish they burn the eyes, and ad-holos that are so infectious even a military grade system would be popping up advertisements for dominatrix services if even slightly touched by this place. Taking in the chaos, you leap into the noise, searching for a deal.""",,,,,
,,,,,,,,
,,,,,,,,
greetingHMIFriendly,OpenCommLink,"$faction.id == HMI
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Hey,"" waves the $personRank lazily, ""How goes?""
OR
""This is probably a bad time,"" grimaces $personName, as what looks like steam and sparks erupt from a nearby console, ""Can you call back later?""
OR
The serious visage of $personName stares at you from the screen, cloaked in darkness aside from the glinting of orange glasses from the darkness, ""You are about to make some powerful enemies, Rimmer.""

$personName suddenly smiles.

""How's that? Super spooky, eh? Reckon I could be a Director with a glare like that? Or do you reckon I need the gloves and orange glasses combined with mood lighting. Was the mood lighting alright?""",,,,
greetingHMIHostileWeaker,OpenCommLink,"$faction.id == HMI
$faction.hostileToPlayer
$relativeStrength < 0",$ignorePlayerCommRequests = true 1,"The HMI $personRank  looks at you worriedly. ""Yeah...this is happening, isn't it?""
OR
""Hey…um…how much could I pay you to NOT do what I think you're about to do?"" pleads the HMI $personRank, ""I mean, I don't have a whole lot of credits on me right now, but, I could float you an IOU!""
OR
The HMI $personRank is glaring from the darkness, orange glasses glinting, ""The Company will know what you did, you, you, YOU CAN'T DO THIS TO ME!"" $heorShe suddenly wails, before the comms line goes dead.
OR
""No amount of credits is worth this!""",cutCommLink:Cut the comm link,,,
greetingHMIHostileWeakerDefiant,OpenCommLink,"$faction.id == HMI
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"""Go. Screw Yerself.""
OR
The serious visage of $personName stares at you from the screen, cloaked in darkness aside from the glinting of orange glasses from the darkness, ""You are about to make some powerful enemies, Rimmer.""
OR
The repeated comm requests are denied, and no connection is made.",cutCommLink:Cut the comm link,,,
greetingHMIHostileStronger,OpenCommLink,"$faction.id == HMI
$faction.hostileToPlayer
$relativeStrength >= 0",$ignorePlayerCommRequests = true 1,"""I have the legal right to kill you, take your cargo and your ships. Legal. LEGAL. By Ludd, this privateer stuff is AMAZING!""
OR
""You will be removed from the premises.""
OR
The HMI $personRank laughs uproariously, ""No time for talk, you're about to get murdered!""
OR
$personName looks at you for a moment, as if about to say something, and then cuts the comm link.",cutCommLink:Cut the comm link,,,
greetingHMIkNeutral,OpenCommLink,"$faction.id == HMI
$faction.neutralToPlayer",,"The HMI $personRank looks at you, mildly confused, ""Did you want something?""
OR
$personName regards you seriously, ""What do you want?"" they ask, suspiciously.
OR
""Hey,"" greets $personName, ""Hear about any good bounties in the area?""
OR
""Hey,"" greets a nervous $personName, ""Hear about any hidden caches in the area?""",cutCommLink:Cut the comm link,,,
aiCores_turnInResponseHMI,AICoresTurnedIn,$faction.id == HMI,FireAll PopulateOptions,"$personName thanks you for your contribution to Hazard Mining Incorporated, completely baffled, before the conversation turns to more weighty matters.",,,,
aiCores_turnInOptionSellHMI,DialogOptionSelected,"$option == aiCores_startTurnIn
$faction.id == HMI",FireAll PopulateCoresTurnInOptions,"""I could take some AI cores off you, but we're kind of swamped with that tech out here. I can take some of the cores off you if you want, but I won't pay that much for 'em.""",,,,
,,,,,,,,
greetingMessHostile,OpenCommLink,"$faction.id == mess score:1000
$entity.isHostile",$ignorePlayerCommRequests = true 1,"There is no response, merely the crackle and snap and clicks of unknown high frequency communications of the swarm amongst the increasing hiss of interference and static.",cutCommLink:Cut the comm link,,,
greetingMessFriendly,OpenCommLink,"$faction.id == mess score:1000
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","There is a buzz over the intercom, which then vibrates all along the ship. The crew look about in mild fear and discomfort, but you do not. Your have received your orders from the Whole. Continue as planned.",,,,
greetingMesstNeutral,OpenCommLink,"$faction.id == mess score:1000
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","There is no response, merely the crackle and snap and clicks of unknown high frequency communications of the swarm amongst the increasing hiss of interference and static.",,,,
greetingRemMessHostile,OpenCommLink,"$faction.id == mess_remnant score:1000
$entity.isHostile",$ignorePlayerCommRequests = true 1,"There is no response, merely the crackle and snap and clicks of unknown high frequency communications of the swarm amongst the increasing hiss of interference and static.",cutCommLink:Cut the comm link,,,
greetingRemMessFriendly,OpenCommLink,"$faction.id == mess_remnant score:1000
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","There is a buzz over the intercom, which then vibrates all along the ship. The crew look about in mild fear and discomfort, but you do not. Your have received your orders from the Whole. Continue as planned.",,,,
greetingRemMesstNeutral,OpenCommLink,"$faction.id == mess_remnant score:1000
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","There is no response, merely the crackle and snap and clicks of unknown high frequency communications of the swarm amongst the increasing hiss of interference and static.",,,,
,,,,,,,,
greetingDomResHostile,OpenCommLink,"$faction.id == domres score:1000
$entity.isHostile",$ignorePlayerCommRequests = true 1,"""WARNING: This vessel is property of the Domain Resurgent and is responding with deadly force to tampering by any means and/or damaging or intrusive signals. Vandalism or destruction of Domain Resurgent property is punishable under the MINEX Establishment Act in addition to colonial polity charters applicable within this volume of Domain territory. This infraction is being recorded. If you wish to make an enquiry, please notify out offices in the Manchester System.""",cutCommLink:Cut the comm link,,,
greetingDomResFriendly,OpenCommLink,"$faction.id == domres score:1000
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Domain Resurgent command codes acknowledged, anti-tampering systems have been set to stand-by and will accept target approach for servicing and data logging.""",,,,
greetingDomResNeutral,OpenCommLink,"$faction.id == domres score:1000
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","Citizen of the Domain, this automated drone ship has identified and logged your vessel or habitat in the course of executing its mission parameters. Autonomous vessels of the Domain Resurgent are programmed to respond with deadly force to tampering of any means including damaging or intrusive signals. Vandalism or destruction of of Domain Resurgent property is punishable under the MINEX Establishment Act in addition to colonial polity charters applicable within this volume of Domain territory. If you wish to make an enquiry, please notify out offices in the Manchester System.",,,,
,,,,,,,,
#Nightmare Station interaction,,,,,,,,
hmi_nightmarestationOpenDialog,OpenInteractionDialog,"$tag:hmi_nightmarestationtag score:101
","SalvageGenFromSeed
ShowDefaultVisual
FireBest SalvageCheckHostile","Your $shipOrFleet approaches the station.

At a distance it resembles other Domain-era research stations, with tall towers of research wings and cubic habitation blocks around a central core. On approach, however, the sensors pick up long protrusions from several sections of the station, like ominous spikes. Your ship detects faint readings from the slender structures, possibly decay from an old fission reactor finally giving out, or maybe accumulated extrastellar radiation from centuries of exposure. 

When your $shipOrFleet is close enough to establish visual contact, the delta-class AI in charge of analysing the sensor data starts reporting increased energy readings from the core of the station itself. At the same time your sensor officer contradicts the report saying the station is a dead hulk, like many others before it.

You swear you hear a low-pitched whine coming from the internal comms as your officer reports, and you begin to feel uneasy. Your navigation officer, unsure, asks whether fleet should continue the approach.",,,,
hmi_nightmarestationdefender_Desc,TriggerAutomatedDefenses,"$tag:hmi_nightmarestationtag score:101
",SalvageDefenderInteraction,"Before you can answer your breath hitches, the hair on your arms stands on end, and you break out into sweat as something emerges from the station's guts, something inherently wrong, something that cries against all known laws of shipcraft or biology. You have no idea where it came from - whether it was camouflaged on the structure's surface, or if it somehow phased out of the station, or if it came from somewhere else entirely and happened to crawl out of the station into reality itself, it matters not – it's here, right here in front of you in all its grotesque glory.

Klaxons whine and comms are overloaded with terrified cries and screams and conflicting orders, all mixed into cacophony overloading your mind with noise. Your heart thumps in your ears as you rapidly call your $shipOrFleet to readiness.",,,,
hmi_nightmarestationPostDefenders,BeatDefendersContinue,"$tag:hmi_nightmarestationtag score:101
",,"As the Thing dies, you struggle to regain your senses. You cast your eyes about the bridge, taking in your readings from the $shipOrFleet, demanding reports and updates. It takes a few minutes before the dull roar of crying, screaming and shock is muted back down to more disciplined and manageable levels, and your heartbeat calms to a more standard cadence. Already the reports coming in make no sense - hull breaches, enemy boarding actions and even demons coming out of the walls have been reported across the $shipOrFleet. Soon the reports correct themselves, but make even less sense, indicating that the $shipOrFleet have actually been attacked by an enemy fleet, or infiltrated by saboteurs. Eventually your sensor officer tears you away from the baffling reports, and indicates that the research station, your prize, has been broken beyond recognition. It appears that in the battle against the Thing a stray round struck the structure, mortally wounding it. Quickly you dispatch salvage parties with one single question:",0:salBeatDefendersContinue:What the hell WAS that!?,,,
hmi_nightmarestationContinueDefenders,BeginSalvage,"$tag:hmi_nightmarestationtag score:101
",,"Your salvage team, smaller than normal due to the large number of wounded or shaken crew refusing to get near the station, quickly begin the salvage operation. Interestingly, when the stray round from fighting shattered the station, it appears to have gone straight through some strange, exotic-looking structure at the core, linked up to a treasure trove of low-grade AI cores. While acquiring the surprise bounty, your nervous salvage team locates a server encased in sturdy plasteel connected to the bizarre AI core network. The outer shell is partially destroyed, with the physical server storage inside mostly intact.

On downloading the contents of the server and analysing the data, you finally discover what just happened. Apparently, a secret Tri-Tachyon project was looking into mind control and had set up in this abandoned research station before the First AI War. They discovered that a combination of subliminal messaging, hypnotics, implant hacking, and several other vaguely mentioned pieces of ominous technology could be used to provide an aggressive form of mind control. The overall idea was to hack the target's comms, sensor and life support systems and cause enemy fleets to turn against themselves in paranoid delusion and hallucination. However, at some point the project was terminated - why is not clear. There are some references to vaguely mentioned technology used by the apparatus causing an 'Instrumentality Event', which you believe is the possibility of a beta level, or even an alpha level AI core taking over the mind control system and turning the researchers against themselves.

Nevertheless, while the project was ostensibly shut down, this station was left dormant for future usage in something called the 'Seele Project' with the mind control system set to self-defence. Your $shipOrFleet had fallen prey to this defense system; it was not some ghost ship you were fighting, but in fact it was your $shipOrFleet tearing itself apart! That lucky stray round had destroyed a key component of the mind control system, and with its demise the mind control effects were lifted. ",0:hmi_explore:Extraordinary!,,,
hmi_nightmarestationFacility,DialogOptionSelected,$option == hmi_explore,,"The experimental data itself, while analysing the effects and studies of the mind control technology itself, does not delve too deeply on the mind control technology itself. However there are some blueprints of early, considerably less refined prototypes of the technology that do not use the more exotic technologies mentioned in the data analyses of the later, refined versions. These particular prototypes, although not intense enough to cause populations into total passivisity, could be used to push a crew beyond it's normal capacity, and subtly influence people to join colonial ventures and pacify them subliminally once on planet. You regard the possibilities as your fleet pulls itself together, and salvage proceeds ahead.",0:hmi_nightmare_salvage_pick:Pick through the salvage,,,
hmi_nightmare_salvage,DialogOptionSelected,$option == hmi_nightmare_salvage_pick,SalvageEntity performSalvage,,,,,
,,,,,,,,
#DomRes Interaction Descriptions,,, ,,,,,
domres_guardpostDetails,ShowSalvageEntityDetails,$customType == domres_guard_probe,"ShowDefaultVisual
FireBest DerelictPrintExtraInfo","Twisted, pockmarked and ruined, the crippled wreck of the Domain Resurgent guardpost shows fearsome scarring from age and weapons fire. Despite being obscured by a scattering of small debris, it is still clear that some systems are still nominally active, buried deep in the derelict.",,,,
domres_guardshipDetails,ShowSalvageEntityDetails,$customType == domres_guard_ship,"ShowDefaultVisual
FireBest DerelictPrintExtraInfo","The Domain Resurgent Guardian Satellite is mostly collected together by residual gravity rather than any remaining intact structural reinforcement. Despite the crippling damage, some systems still appear to be nominally active in some parts of the wreck.",,,,
domres_stationDetails,ShowSalvageEntityDetails,$customType == domres_guard_station,"ShowDefaultVisual
FireBest DerelictPrintExtraInfo","The vast bulk of the Guardian Station is blasted, battered and wrecked from a centuries past conflict. While a large number of the modules are missing, sensors indicate that some systems are still nominally active, and the surviving weapon emplacements are  functional.",,,,
,,,,,,,,
hmi_recon_stationOpenDialog,OpenInteractionDialog,$tag:hmi_recon_comm_relaytag,"AddText ""The relay fragment has been hastily reconstructed, being barely more than a transmitter attached to a chunk of scrap. On close inspection, the signals being transmitted are attempting to contact several assets in system, although what their significance is and their precise location is unclear from the fairly basic device. Only rudimentary information can be extracted from the response signals. One asset is being obscured by the corona of a star due to the strong ionic static of solar wind in the return signal. Another is in an asteroid field, according to the pops and clicks of asteroid interference. Yet another is in a Lagrange point of Devon, due to Doppler stretching of the signal.""

AddText ""But what is intriguing is the indication of a location outside of the system, somewhere north and east in relation to Manchester. The return signal is much stronger than the other pings in system, indicating that the out of system defence asset is intact. This could indicate a treasure trove of lost Domain-Era technology - and a considerably more dangerous foe to combat."" textNeutralColor",,,,,
hmi_mirror_stationOpenDialog,OpenInteractionDialog,$tag:hmi_mirror_relaytag,"AddText ""The mirror, rather ingeniously, has been converted into a temporary relay. The modification was haphazard, and probably only transmitted for a very limited time. There is evidence of docking, a very short period of reconstruction, and then a very rapid dedocking as evidenced by the damage around the ship clamps. Inside the threadbare construction there is very little beyond the maintenance equipment still firmly secured to the construction, or the amount of equipment conspicuously absent. In the centre of the mirror is a primitive data core, the ancient device still aimlessly attempting to make communication as its fission reactor slowly drains, despite the wiring between it and the main mirror being fried. Converting the signal into readable material reveals a coded message, which is easily cracked by your delta AI:""

AddText ""Jessie, Scaraborough and his Merry Band of Refo Scum got in, and the fuckers on Exeter have finally pulled their heads out of their sandy asses and realised the system defenses have run out of juice. Tell the girls on Devon to grab their guys cause we're fucking right off. I'll try and meet you out of system, but there's a good chance the Refo fucks will track this signal - in which case don't wait up. This might be the last thing I say to you, which will be fuck you, you cancerous toxic bitch. And your limp-dicked husband too!"" textNeutralColor",,,,,
domres_station_jump,TradePanelFlavorText,"$market.id == manchester_abandoned_station_market score:1000
$id == stationDerelict4","AddText""Heading in through a particularly large ruined section you find an entry point - a blast door with a somewhat intact terminal. It doesn't take long to power up the local system and open the door. Inside the facility is dead and airless, dust and trash and debris floating like a slick wet fog. It's bothersome moving through the facility, having to continually open and close blast doors as you wade through the junk, but you make steady headway into the station. Every now and then you catch a glimpse  messages scrawled on the wall, floor, or sometimes floor. The messages are sometimes carefully written directions to where a loved one is, sometimes a spiteful scrawl against the lies of 'DomRes', and sometimes more ordered writing directions to exit points or damaged sections. Once you make it through these tunnels you approach the Western Promenade, the only section still relatively intact. The debris is absent here, the space inside having been vented a long time ago. The reason is high above you - the top of the entire structure can be jury rigged to open, but frustratingly only from the inside. The insistent transmission interferes with any sort of remote you could set up to open the door automatically. Anything stored here will be protected from the elements and be guaranteed to still be there when you return - if it is secured well enough. As you explore, you wonder if this time you'll find that blasted transmitter and blow the bloody thing to smithereens - you wouldn't be surprised if half the damage to the outside structure was done to do just that.""",,,,,
domres_station_mining,ShowSalvageEntityDetails,$customType == domres_guard_probe,"ShowDefaultVisual
FireBest DerelictPrintExtraInfo",,,,,
domres_station_research,ShowSalvageEntityDetails,$customType == domres_guard_ship,"ShowDefaultVisual
FireBest DerelictPrintExtraInfo",,,,,
domres_station_orbital,ShowSalvageEntityDetails,$customType == domres_guard_station,"ShowDefaultVisual
FireBest DerelictPrintExtraInfo",,,,,
,,,,,,,,
#Mess Station Rewards,,,,,,,,
liminaPostBattle,MessStationDestroyed,,,"Your $shipOrFleet begins to approach the hulk of the station to start evaluating salvage.

Salvaging such a hulk will be incredibly perilous, as whatever vague centralised intelligence was controlling the individual nanite colonies is now absent, causing the Mess to divide into small bubbles and begin to cannibalise each other and the station. Even now you watch as debris around the station rapidly deteriorates from the rampant mess, and your ship's adjusted shielding is working overtime to keep any infection at bay. Getting close to the hulk will be difficult, as sections that might be solid metal will crumple and fold like tin foil at the slightest touch of an engine outflow. Even now the innards of the station roil and threaten to tear apart the skin of the structure and bleed nanite Mess into space.",liminaBeatDefendersContinue:Continue,,,
liminaPostBattle2,DialogOptionSelected,$option == liminaBeatDefendersContinue,,"Things are tense. You've already had to promise your salvor crews triple hazard pay to even get them to contemplate harvesting this thing for ripe Nanite Mass.

Luckily you have a well travelled rigger who did a stint in Opuntia for a cycle, although her prediliction for recreational drugs has addled her somewhat. Lead by the crazy rigger and clad in magnetic fields strong enough to rattle anyone's headgear, you can only watch with baited breath as the salvage shuttles go out, the image on your screen fuzzy from electromagnetic interference.",liminaBeatDefendersContinue2:Continue,,,
liminaPostBattle3,DialogOptionSelected,$option == liminaBeatDefendersContinue2,,"Suddenly the station buckles, and you watch the outer armour writhe and twist like a stormy sick-white sea. You grit your teeth as panicked messages crackle over the comms, your salvage chief alternating between giving orders and glaring at you.

Then, like a hull-breach siren siren the mad rigger's laughing cuts through the comms, her salvage shuttle streaking low across the surface. It ducks and weaves over the rolling surface, before sharply rising upwards. The salvage chief is yelling something, but it's drowned out as she screams in delight,

""THERE SHE BLOWS!""",liminaBeatDefendersContinue3:Continue,,,
liminaPostBattle4,DialogOptionSelected,$option == liminaBeatDefendersContinue3,,"You watch transfixed as the surface tears apart in her wake, a spray of malignant Mess erupting from the surface mixed with reinforced metal and modular factory components.

And then you feel your stomach fall out from under you as whatever salvageable material could have been aquired is converted into space dust by hungry nanites before your eyes, your salvors running scared and giving panicked calls back to command. The salvage chief just glares at you, knowing exactly how bad of an idea it was to even consider harvesting the crumbling hulk, and here they stand, vindicated. You are more upset about the loss of the hulk - what might have been a goldmine of Nanite Mess just went up in smoke.

""By Ludd,"" you suddenly hear the Sensor officer utter in shock, ""Look what just came out of the fissure!""

Amazed, you watch as the Mess cannibalises itself into dust before your eyes, leaving behind the shadow of a cruiser-sized ship.",liminaBeatDefendersContinue4:Continue,,,
liminaPostBattle5,DialogOptionSelected,$option == liminaBeatDefendersContinue4,FireBest OpenInteractionDialog,,,,,
limina_wreckDetails,ShowSalvageEntityDetails,"$customType == wreck
$limina score:1000",ShowDefaultVisual,"The ship drifts, glinting in Mansa's light like a jewel. It vaguely resembles the Coelum-class seen in Remnant fleets, but it's too clean, too alien in appearance. At once, you begin to consider salvaging it. The prospect does not sound appealing - this ship was buried deep within the bowels of a nanite infested station that just reduced itself to space dust, with no guarantee that this object won't do the exact same thing. But you've come too far, fought to hard to leave with nothing.

The following negotiations are quickly made with your sputtering salvage chief, and become very loud once or twice, before your chief begrudging sends the incredulous salvage crews out to the ship. The command is made slightly easier by your sensor officer reporting a surprising absence of nanite infection on the ship.

At least according to vague scans made through intense electromagnetic interference.",,,,
liminaSalvage1,CheckSalvageSpecial,"$salvageSpecialData != null
$customType == wreck
$limina score:1000",,"The salvor crews are sent in - with promise of considerable hazard pay - to investigate the ship. Your salvage teams dock shuttles at various entry points along the vessel's massive hull, carefully ensuring that the hull is clean of nanite infestation with broad EM sweeps.",liminaSalvage2:Continue,,,
liminaSalvage2,DialogOptionSelected,$option == liminaSalvage2,,"It doesn't take long for reports to come in -  the vessel is heavily damaged, and though of exotic design, it is theoretically recoverable.

Strangely, the vessel appears to have been constructed with crew in mind, with all the amenities and interfaces necessary for a human crew to operate. What is even more bizarre is that while there are trace readings corresponding to nanite infestation, it seems contained within the ship's hull.",liminaSalvage3:Continue,,,
liminaSalvage4,DialogOptionSelected,$option == liminaSalvage3,,"Your chief engineer is incredibly fast in their report.

""$PlayerSirOrMadam, you will not believe what this thing is."" they say, with excitement tinged with relief, ""From what the computer systems indicate, at some point after this station was infected there was a glitch in the AI controlling the ship autofactory. Essentially a stray bit of code in the degraded systems picked up a Tri-Tachyon demand to refine the Coelum design, and set to work fulfilling it under the name ""Limina"". Except the Mess kept eating the ship, so the AI kept rebuilding the ship and redesigning it to resist nanite consumption. It kept doing it over, and over, and over, until it produced this ship - Iteration 180612.""",liminaSalvage4:Continue,,,
